1,  0.8361125882877385
2,  0.5775782575106057
3,  0.5149771004537383
4,  0.5561080893307866
5,  0.5024079310769437
6,  0.48403809465923026
7,  0.4710096507400588
8,  0.46423774859541317
9,  0.4443157019131718
10, 0.4391177910490869
11, 0.4579434401251244
12, 0.43159037012072576
13, 0.43080179121627493
14, 0.4344504540378475
15, 0.4533393773421727
16, 0.4657020647497155
17, 0.4432773081808206
18, 0.43128866117370507
19, 0.47049527002630254
20, 0.43057286567889913
21, 0.4500762599603165
22, 0.4486942571550408
23, 0.43811260756831094
24, 0.44762245222827174
25, 0.4564044992344374
26, 0.4494253643809159
27, 0.44820821768075747
28, 0.4790725590961069
29, 0.44139598587403756

